Trajectory,Count
FDA -> EMA -> HealthCanada -> TGA,41
FDA -> EMA -> HealthCanada,33
FDA -> HealthCanada -> TGA,32
FDA -> HealthCanada -> EMA,32
FDA -> HealthCanada -> TGA -> EMA,22
EMA -> FDA -> HealthCanada -> TGA,20
FDA -> HealthCanada -> EMA -> TGA,16
HealthCanada -> FDA -> TGA,16
FDA -> EMA -> TGA -> HealthCanada,14
EMA -> TGA -> FDA,13
FDA -> EMA -> TGA,13
EMA -> Swissmedic -> TGA,11
EMA -> TGA -> HealthCanada,11
FDA -> TGA -> EMA -> HealthCanada,8
EMA -> HealthCanada -> TGA -> Swissmedic,8
EMA -> FDA -> TGA,7
EMA -> FDA -> HealthCanada,7
HealthCanada -> FDA -> TGA -> EMA,6
HealthCanada -> FDA -> EMA -> TGA,6
FDA -> TGA -> HealthCanada,6
