Trajectory,Count
FDA -> HealthCanada -> EMA -> TGA -> Swissmedic,4
FDA -> EMA -> HealthCanada -> Swissmedic -> TGA,4
FDA -> HealthCanada -> TGA -> EMA -> Swissmedic,3
FDA -> HealthCanada -> TGA -> Swissmedic -> EMA,2
FDA -> EMA -> TGA -> Swissmedic -> HealthCanada,2
FDA -> EMA -> HealthCanada -> TGA -> Swissmedic,2
FDA -> EMA -> Swissmedic -> HealthCanada -> TGA,2
FDA -> EMA -> Swissmedic -> TGA -> HealthCanada,2
EMA -> FDA -> Swissmedic -> HealthCanada -> TGA,1
FDA -> Swissmedic -> TGA -> EMA -> HealthCanada,1
EMA -> FDA -> TGA -> Swissmedic -> HealthCanada,1
FDA -> HealthCanada -> Swissmedic -> EMA -> TGA,1
FDA -> Swissmedic -> EMA -> HealthCanada -> TGA,1
FDA -> TGA -> Swissmedic -> EMA -> HealthCanada,1
FDA -> TGA -> HealthCanada -> Swissmedic -> EMA,1
FDA -> TGA -> HealthCanada -> EMA -> Swissmedic,1
FDA -> EMA -> TGA -> HealthCanada -> Swissmedic,1
EMA -> TGA -> HealthCanada -> FDA -> Swissmedic,1
FDA -> HealthCanada -> EMA -> Swissmedic -> TGA,1
