Vizamyl	EMEA/H/C/002557
Pepaxti	EMEA/H/C/005681
Tandemact	EMEA/H/C/000680
Vyvgart	EMEA/H/C/005849
Adzynma	EMEA/H/C/006198
Revasc	EMEA/H/C/000104
Truvada	EMEA/H/C/000594
Zynquista	EMEA/H/C/004889
Rezolsta	EMEA/H/C/002819
Loargys	EMEA/H/C/005484
Thorinane	EMEA/H/C/003795
Qaialdo	EMEA/H/C/005535
Vibativ	EMEA/H/C/000864
Allex	EMEA/H/C/000312
ViraferonPeg	EMEA/H/C/000329
Cimzia	EMEA/H/C/000740
Prandin	EMEA/H/C/000362
Evotopin	EMEA/H/C/000124
Pirfenidone axunio (previously Pirfenidone AET)	EMEA/H/C/005873
Arxxant	EMEA/H/C/000753
Olanzapine Viatris (previously Olanzapine Mylan)	EMEA/H/C/000961
Tobi Podhaler	EMEA/H/C/002155
Zeffix	EMEA/H/C/000242
Aranesp	EMEA/H/C/000332
Mycamine	EMEA/H/C/000734
Fingolimod Mylan	EMEA/H/C/005661
Valdyn (previously Kudeq)	EMEA/H/C/000437
Abraxane	EMEA/H/C/000778
Entacapone Orion	EMEA/H/C/002440
Tikosyn	EMEA/H/C/000238
Fareston	EMEA/H/C/000091
Biopoin	EMEA/H/C/001036
Moventig	EMEA/H/C/002810
Drovelis	EMEA/H/C/005336
Rekambys	EMEA/H/C/005060
Irbesartan Hydrochlorothiazide BMS	EMEA/H/C/000784
Velsipity	EMEA/H/C/006007
Clopidogrel Taw Pharma (previously Clopidogrel Mylan)	EMEA/H/C/001134
Ituxredi	EMEA/H/C/006224
Pumarix	EMEA/H/C/001212
Bronchitol	EMEA/H/C/001252
ImmunoGam	EMEA/H/C/001055
Plivensia	EMEA/H/C/004165
Intelence	EMEA/H/C/000900
Respreeza	EMEA/H/C/002739
Lympreva	EMEA/H/C/002772
Ibandronic acid Accord	EMEA/H/C/002638
Tibsovo	EMEA/H/C/005056
Opaxio	EMEA/H/C/000994
Abasaglar (previously Abasria)	EMEA/H/C/002835
