Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Disease_name(s),Document_name,Drug_class,Drug_name,Indication_approved,Indication_approved_extracted,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body,Agency,DRUG_CODE
oral,,,approved,healthcanada,approved,15.04.1997,1997,diseases of the circulatory system,,,small molecule,tiazac,"indications tiazac (diltiazem hydrochloride extended -release capsules) is indicated for: • essential hypertension tiazac is indicated for the treatment of mild to moderate essential hypertension. safety of concurrent use of tiazac with other antihypertensive agents has not been established. • chronic stable angina tiazac is indicated for the management of chronic stable angina (effort -associated angina) without evidence of vasospasm in patients who remain symptomatic despite adequate doses of beta -blockers and/or organic nitrates or who cannot tolerate these agents (see 7 warnings and precautions , use with beta -blockers ). tiazac may be tried in combination with beta -blockers in chronic stable angina patients with normal ventricular function. when such concomitant therapy is introduced, patients must be monitored closely (see 7 warnings and precautions, use with beta - blockers ). since the safety and efficacy of tiazac in the management of unstable or vasospastic angina has not been substantiated, its use for these indications is not recommended. 1.1 pediatrics pediatrics (< 18 years): no data are available to health canada; therefore, health canada has not authorized an indication for pediatric use. 1.2 geriatrics geriatrics (> 65 years old): administration of diltiazem to elderly patients (over or equal to 65 years of age) requires particular care in titration (see 7.1.4 warnings and precautions, geriatrics and 9.4 drug -drug interactions ). 2",,,<hypertension>; <angina pectoris>,"bausch health, canada inc.",bausch,02231151,diltiazem hydrochloride,,,capsule,,,HealthCanada,50459.0
oral,,,approved,healthcanada,approved,15.04.1997,1997,diseases of the circulatory system,,,small molecule,tiazac,"indications tiazac (diltiazem hydrochloride extended -release capsules) is indicated for: • essential hypertension tiazac is indicated for the treatment of mild to moderate essential hypertension. safety of concurrent use of tiazac with other antihypertensive agents has not been established. • chronic stable angina tiazac is indicated for the management of chronic stable angina (effort -associated angina) without evidence of vasospasm in patients who remain symptomatic despite adequate doses of beta -blockers and/or organic nitrates or who cannot tolerate these agents (see 7 warnings and precautions , use with beta -blockers ). tiazac may be tried in combination with beta -blockers in chronic stable angina patients with normal ventricular function. when such concomitant therapy is introduced, patients must be monitored closely (see 7 warnings and precautions, use with beta - blockers ). since the safety and efficacy of tiazac in the management of unstable or vasospastic angina has not been substantiated, its use for these indications is not recommended. 1.1 pediatrics pediatrics (< 18 years): no data are available to health canada; therefore, health canada has not authorized an indication for pediatric use. 1.2 geriatrics geriatrics (> 65 years old): administration of diltiazem to elderly patients (over or equal to 65 years of age) requires particular care in titration (see 7.1.4 warnings and precautions, geriatrics and 9.4 drug -drug interactions ). 2",,,<hypertension>; <angina pectoris>,"bausch health, canada inc.",bausch,02231152,diltiazem hydrochloride,,,capsule,,,HealthCanada,50460.0
oral,,,approved,healthcanada,approved,15.04.1997,1997,diseases of the circulatory system,,,small molecule,tiazac,"indications tiazac (diltiazem hydrochloride extended -release capsules) is indicated for: • essential hypertension tiazac is indicated for the treatment of mild to moderate essential hypertension. safety of concurrent use of tiazac with other antihypertensive agents has not been established. • chronic stable angina tiazac is indicated for the management of chronic stable angina (effort -associated angina) without evidence of vasospasm in patients who remain symptomatic despite adequate doses of beta -blockers and/or organic nitrates or who cannot tolerate these agents (see 7 warnings and precautions , use with beta -blockers ). tiazac may be tried in combination with beta -blockers in chronic stable angina patients with normal ventricular function. when such concomitant therapy is introduced, patients must be monitored closely (see 7 warnings and precautions, use with beta - blockers ). since the safety and efficacy of tiazac in the management of unstable or vasospastic angina has not been substantiated, its use for these indications is not recommended. 1.1 pediatrics pediatrics (< 18 years): no data are available to health canada; therefore, health canada has not authorized an indication for pediatric use. 1.2 geriatrics geriatrics (> 65 years old): administration of diltiazem to elderly patients (over or equal to 65 years of age) requires particular care in titration (see 7.1.4 warnings and precautions, geriatrics and 9.4 drug -drug interactions ). 2",,,<hypertension>; <angina pectoris>,"bausch health, canada inc.",bausch,02231154,diltiazem hydrochloride,,,capsule,,,HealthCanada,50461.0
oral,,,approved,healthcanada,approved,15.04.1997,1997,diseases of the circulatory system,,,small molecule,tiazac,"indications tiazac (diltiazem hydrochloride extended -release capsules) is indicated for: • essential hypertension tiazac is indicated for the treatment of mild to moderate essential hypertension. safety of concurrent use of tiazac with other antihypertensive agents has not been established. • chronic stable angina tiazac is indicated for the management of chronic stable angina (effort -associated angina) without evidence of vasospasm in patients who remain symptomatic despite adequate doses of beta -blockers and/or organic nitrates or who cannot tolerate these agents (see 7 warnings and precautions , use with beta -blockers ). tiazac may be tried in combination with beta -blockers in chronic stable angina patients with normal ventricular function. when such concomitant therapy is introduced, patients must be monitored closely (see 7 warnings and precautions, use with beta - blockers ). since the safety and efficacy of tiazac in the management of unstable or vasospastic angina has not been substantiated, its use for these indications is not recommended. 1.1 pediatrics pediatrics (< 18 years): no data are available to health canada; therefore, health canada has not authorized an indication for pediatric use. 1.2 geriatrics geriatrics (> 65 years old): administration of diltiazem to elderly patients (over or equal to 65 years of age) requires particular care in titration (see 7.1.4 warnings and precautions, geriatrics and 9.4 drug -drug interactions ). 2",,,<hypertension>; <angina pectoris>,"bausch health, canada inc.",bausch,02231155,diltiazem hydrochloride,,,capsule,,,HealthCanada,50462.0
oral,,,approved,healthcanada,approved,06.09.2000,2000,diseases of the circulatory system,,,small molecule,teva-diltiazem cd,"indications teva -diltiazem cd (diltiazem hydrochloride controlled delivery capsules ) is indicated for: • angina teva -diltiazem cd is indicated for the management of chronic stable angina (effort - associated angina) without evidence of vasospasm in patients who remain symptomatic, despite adequate doses of beta -blockers and/or organic nitrates or who cannot tolerate those agents. teva -diltiazem cd may be tried in combination with beta -blockers in chronic stable angina patients with normal ventricular function. when such concomitant therapy is introduced, patients must be monitored closely ( see 7 warnings and precautions ). • hypertension teva -diltiazem cd is indicated for the treatment of mild to moderate essential hypertension. safety of concurrent use of diltiazem with other antihypertensive agents has not been established. 1.1 pediatrics pediatrics (< 18 years): based on the data submitted and reviewed by health canada, the safety and efficacy of teva -diltiazem cd in pediatric patients has not been established; therefore, health canada has not authorized an indication for pediatric use. 1.2 geriatrics pharmacokinetics of diltiazem in elderly patients has not been fully elucidated. preliminary results in elderly patients (over 65 years old) suggest that a lower dosage might be required in this age group (see 7 warnings and precautions ). 2",,,<angina>; <hypertension>,teva canada limited,teva,02242538,diltiazem hydrochloride,,,capsule,,,HealthCanada,66289.0
oral,,,approved,healthcanada,approved,06.09.2000,2000,diseases of the circulatory system,,,small molecule,teva-diltiazem cd,"indications teva -diltiazem cd (diltiazem hydrochloride controlled delivery capsules ) is indicated for: • angina teva -diltiazem cd is indicated for the management of chronic stable angina (effort - associated angina) without evidence of vasospasm in patients who remain symptomatic, despite adequate doses of beta -blockers and/or organic nitrates or who cannot tolerate those agents. teva -diltiazem cd may be tried in combination with beta -blockers in chronic stable angina patients with normal ventricular function. when such concomitant therapy is introduced, patients must be monitored closely ( see 7 warnings and precautions ). • hypertension teva -diltiazem cd is indicated for the treatment of mild to moderate essential hypertension. safety of concurrent use of diltiazem with other antihypertensive agents has not been established. 1.1 pediatrics pediatrics (< 18 years): based on the data submitted and reviewed by health canada, the safety and efficacy of teva -diltiazem cd in pediatric patients has not been established; therefore, health canada has not authorized an indication for pediatric use. 1.2 geriatrics pharmacokinetics of diltiazem in elderly patients has not been fully elucidated. preliminary results in elderly patients (over 65 years old) suggest that a lower dosage might be required in this age group (see 7 warnings and precautions ). 2",,,<angina>; <hypertension>,teva canada limited,teva,02242539,diltiazem hydrochloride,,,capsule,,,HealthCanada,66290.0
oral,,,approved,healthcanada,approved,06.09.2000,2000,diseases of the circulatory system,,,small molecule,teva-diltiazem cd,"indications teva -diltiazem cd (diltiazem hydrochloride controlled delivery capsules ) is indicated for: • angina teva -diltiazem cd is indicated for the management of chronic stable angina (effort - associated angina) without evidence of vasospasm in patients who remain symptomatic, despite adequate doses of beta -blockers and/or organic nitrates or who cannot tolerate those agents. teva -diltiazem cd may be tried in combination with beta -blockers in chronic stable angina patients with normal ventricular function. when such concomitant therapy is introduced, patients must be monitored closely ( see 7 warnings and precautions ). • hypertension teva -diltiazem cd is indicated for the treatment of mild to moderate essential hypertension. safety of concurrent use of diltiazem with other antihypertensive agents has not been established. 1.1 pediatrics pediatrics (< 18 years): based on the data submitted and reviewed by health canada, the safety and efficacy of teva -diltiazem cd in pediatric patients has not been established; therefore, health canada has not authorized an indication for pediatric use. 1.2 geriatrics pharmacokinetics of diltiazem in elderly patients has not been fully elucidated. preliminary results in elderly patients (over 65 years old) suggest that a lower dosage might be required in this age group (see 7 warnings and precautions ). 2",,,<angina>; <hypertension>,teva canada limited,teva,02242540,diltiazem hydrochloride,,,capsule,,,HealthCanada,66291.0
oral,,,approved,healthcanada,approved,06.09.2000,2000,diseases of the circulatory system,,,small molecule,teva-diltiazem cd,"indications teva -diltiazem cd (diltiazem hydrochloride controlled delivery capsules ) is indicated for: • angina teva -diltiazem cd is indicated for the management of chronic stable angina (effort - associated angina) without evidence of vasospasm in patients who remain symptomatic, despite adequate doses of beta -blockers and/or organic nitrates or who cannot tolerate those agents. teva -diltiazem cd may be tried in combination with beta -blockers in chronic stable angina patients with normal ventricular function. when such concomitant therapy is introduced, patients must be monitored closely ( see 7 warnings and precautions ). • hypertension teva -diltiazem cd is indicated for the treatment of mild to moderate essential hypertension. safety of concurrent use of diltiazem with other antihypertensive agents has not been established. 1.1 pediatrics pediatrics (< 18 years): based on the data submitted and reviewed by health canada, the safety and efficacy of teva -diltiazem cd in pediatric patients has not been established; therefore, health canada has not authorized an indication for pediatric use. 1.2 geriatrics pharmacokinetics of diltiazem in elderly patients has not been fully elucidated. preliminary results in elderly patients (over 65 years old) suggest that a lower dosage might be required in this age group (see 7 warnings and precautions ). 2",,,<angina>; <hypertension>,teva canada limited,teva,02242541,diltiazem hydrochloride,,,capsule,,,HealthCanada,66292.0
intravenous,,,approved,healthcanada,approved,12.10.2001,2001,,,,small molecule,diltiazem hydrochloride injection,,,,,sandoz canada incorporated,sandoz,02244728,diltiazem hydrochloride,,,solution,,,HealthCanada,68717.0
oral,,,approved,healthcanada,approved,12.08.2004,2004,diseases of the circulatory system,,,small molecule,tiazac xc,"indications • essential hypertension tiazac xc (diltiazem hydrochloride) is indicated for the treatment of mild to moderate essential hypertension. the safety of concurrent use of tiazac xc with other antihypertensive agents has not been established. • chronic stable angina for the management of chronic stable angina (effort -associated angina) without evidence of vasospasm in patients who remain symptomatic despite adequate doses of beta-blockers and/or organic nitrates or who cannot tolerate those agents (see 7 warnings and precautions , use with beta -blockers ). tiazac xc may be tried in combination with beta -blockers in chronic stable angina in patients with normal ventricular function. when such concomitant therapy is introduced, these patients must be monitored closely (see 7 warnings and precautions , use with beta -blockers ). since the safety and efficacy of tiazac xc in the management of unstable or vasospastic angina has not been substantiated, its use for these conditions is not recommended. 1.1 pediatrics pediatrics (< 18 years): no data are available to health canada; therefore, health canada has not authorized an indication for pediatric use. 1.2 geriatrics geriatrics (> 65 years old): administration of diltiazem to elderly patients (over or equal to 65 years of age) requires caution (see 7.1.4 warnings and precautions, geriatrics ). 2",,,<hypertension>; <angina pectoris>,"bausch health, canada inc.",bausch,02256738,diltiazem hydrochloride,,,tablet,,,HealthCanada,74195.0
oral,,,approved,healthcanada,approved,12.08.2004,2004,diseases of the circulatory system,,,small molecule,tiazac xc,"indications • essential hypertension tiazac xc (diltiazem hydrochloride) is indicated for the treatment of mild to moderate essential hypertension. the safety of concurrent use of tiazac xc with other antihypertensive agents has not been established. • chronic stable angina for the management of chronic stable angina (effort -associated angina) without evidence of vasospasm in patients who remain symptomatic despite adequate doses of beta-blockers and/or organic nitrates or who cannot tolerate those agents (see 7 warnings and precautions , use with beta -blockers ). tiazac xc may be tried in combination with beta -blockers in chronic stable angina in patients with normal ventricular function. when such concomitant therapy is introduced, these patients must be monitored closely (see 7 warnings and precautions , use with beta -blockers ). since the safety and efficacy of tiazac xc in the management of unstable or vasospastic angina has not been substantiated, its use for these conditions is not recommended. 1.1 pediatrics pediatrics (< 18 years): no data are available to health canada; therefore, health canada has not authorized an indication for pediatric use. 1.2 geriatrics geriatrics (> 65 years old): administration of diltiazem to elderly patients (over or equal to 65 years of age) requires caution (see 7.1.4 warnings and precautions, geriatrics ). 2",,,<hypertension>; <angina pectoris>,"bausch health, canada inc.",bausch,02256746,diltiazem hydrochloride,,,tablet,,,HealthCanada,74196.0
oral,,,approved,healthcanada,approved,12.08.2004,2004,diseases of the circulatory system,,,small molecule,tiazac xc,"indications • essential hypertension tiazac xc (diltiazem hydrochloride) is indicated for the treatment of mild to moderate essential hypertension. the safety of concurrent use of tiazac xc with other antihypertensive agents has not been established. • chronic stable angina for the management of chronic stable angina (effort -associated angina) without evidence of vasospasm in patients who remain symptomatic despite adequate doses of beta-blockers and/or organic nitrates or who cannot tolerate those agents (see 7 warnings and precautions , use with beta -blockers ). tiazac xc may be tried in combination with beta -blockers in chronic stable angina in patients with normal ventricular function. when such concomitant therapy is introduced, these patients must be monitored closely (see 7 warnings and precautions , use with beta -blockers ). since the safety and efficacy of tiazac xc in the management of unstable or vasospastic angina has not been substantiated, its use for these conditions is not recommended. 1.1 pediatrics pediatrics (< 18 years): no data are available to health canada; therefore, health canada has not authorized an indication for pediatric use. 1.2 geriatrics geriatrics (> 65 years old): administration of diltiazem to elderly patients (over or equal to 65 years of age) requires caution (see 7.1.4 warnings and precautions, geriatrics ). 2",,,<hypertension>; <angina pectoris>,"bausch health, canada inc.",bausch,02256754,diltiazem hydrochloride,,,tablet,,,HealthCanada,74197.0
oral,,,approved,healthcanada,approved,12.08.2004,2004,diseases of the circulatory system,,,small molecule,tiazac xc,"indications • essential hypertension tiazac xc (diltiazem hydrochloride) is indicated for the treatment of mild to moderate essential hypertension. the safety of concurrent use of tiazac xc with other antihypertensive agents has not been established. • chronic stable angina for the management of chronic stable angina (effort -associated angina) without evidence of vasospasm in patients who remain symptomatic despite adequate doses of beta-blockers and/or organic nitrates or who cannot tolerate those agents (see 7 warnings and precautions , use with beta -blockers ). tiazac xc may be tried in combination with beta -blockers in chronic stable angina in patients with normal ventricular function. when such concomitant therapy is introduced, these patients must be monitored closely (see 7 warnings and precautions , use with beta -blockers ). since the safety and efficacy of tiazac xc in the management of unstable or vasospastic angina has not been substantiated, its use for these conditions is not recommended. 1.1 pediatrics pediatrics (< 18 years): no data are available to health canada; therefore, health canada has not authorized an indication for pediatric use. 1.2 geriatrics geriatrics (> 65 years old): administration of diltiazem to elderly patients (over or equal to 65 years of age) requires caution (see 7.1.4 warnings and precautions, geriatrics ). 2",,,<hypertension>; <angina pectoris>,"bausch health, canada inc.",bausch,02256762,diltiazem hydrochloride,,,tablet,,,HealthCanada,74198.0
oral,,,approved,healthcanada,approved,12.08.2004,2004,diseases of the circulatory system,,,small molecule,tiazac xc,"indications • essential hypertension tiazac xc (diltiazem hydrochloride) is indicated for the treatment of mild to moderate essential hypertension. the safety of concurrent use of tiazac xc with other antihypertensive agents has not been established. • chronic stable angina for the management of chronic stable angina (effort -associated angina) without evidence of vasospasm in patients who remain symptomatic despite adequate doses of beta-blockers and/or organic nitrates or who cannot tolerate those agents (see 7 warnings and precautions , use with beta -blockers ). tiazac xc may be tried in combination with beta -blockers in chronic stable angina in patients with normal ventricular function. when such concomitant therapy is introduced, these patients must be monitored closely (see 7 warnings and precautions , use with beta -blockers ). since the safety and efficacy of tiazac xc in the management of unstable or vasospastic angina has not been substantiated, its use for these conditions is not recommended. 1.1 pediatrics pediatrics (< 18 years): no data are available to health canada; therefore, health canada has not authorized an indication for pediatric use. 1.2 geriatrics geriatrics (> 65 years old): administration of diltiazem to elderly patients (over or equal to 65 years of age) requires caution (see 7.1.4 warnings and precautions, geriatrics ). 2",,,<hypertension>; <angina pectoris>,"bausch health, canada inc.",bausch,02256770,diltiazem hydrochloride,,,tablet,,,HealthCanada,74199.0
oral,,,approved,healthcanada,approved,26.09.2005,2005,diseases of the circulatory system,,,small molecule,teva-diltiazem hcl er,"indications teva- diltiazem hcl er (diltiazem hydrochloride extended -release capsules) is indicated for: •essential hypertension teva- diltiazem hcl er is indicated for the treatment of mild to moderate essential hypertension. safet y of concurrent use of teva- diltiazem hcl er with other antihypertensive agents has not been established. •chroni c stable angina teva- diltiazem hcl er is indicated for the management of chronic stable angina (effort -associated angina) without evidence of vasospasm in patients who remain symptomatic despite adequate doses of beta- blockers and/or organic nitrates or who cannot tolerate these agents (see 7 warnings and precautions ). teva- d iltiazem hcl er may be tried in combination with beta -blockers in chronic stable angina patients with normal ventricular function. when such concomitant therapy is introduced, patients must be monitored closely (see 7 warnings and precautions , use with beta -blockers). sinc e the safety and efficacy of teva- diltiazem hcl er in the management of unstable or vasospastic angina has not been substantiated, its use for these indications is not recommended. 1.1 pediatrics pediatrics (< 18 years): no data are available to health canada; therefore, health canada has not authorized an indication for pediatric use. 1.2 geriatrics geriatrics (> 65 years old): administration of diltiazem to elderly patients (over or equal to 65 years of age) requires particular care in titration (see 7.1.4 warnings and precautions, geriatrics and 9.4 drug -drug i nteractions). 2",,,"<hypertension>; <angina, stable>","bausch health, canada inc.",bausch,02271605,diltiazem hydrochloride,,,capsule,,,HealthCanada,75715.0
oral,,,approved,healthcanada,approved,26.09.2005,2005,diseases of the circulatory system,,,small molecule,teva-diltiazem hcl er,"indications teva- diltiazem hcl er (diltiazem hydrochloride extended -release capsules) is indicated for: •essential hypertension teva- diltiazem hcl er is indicated for the treatment of mild to moderate essential hypertension. safet y of concurrent use of teva- diltiazem hcl er with other antihypertensive agents has not been established. •chroni c stable angina teva- diltiazem hcl er is indicated for the management of chronic stable angina (effort -associated angina) without evidence of vasospasm in patients who remain symptomatic despite adequate doses of beta- blockers and/or organic nitrates or who cannot tolerate these agents (see 7 warnings and precautions ). teva- d iltiazem hcl er may be tried in combination with beta -blockers in chronic stable angina patients with normal ventricular function. when such concomitant therapy is introduced, patients must be monitored closely (see 7 warnings and precautions , use with beta -blockers). sinc e the safety and efficacy of teva- diltiazem hcl er in the management of unstable or vasospastic angina has not been substantiated, its use for these indications is not recommended. 1.1 pediatrics pediatrics (< 18 years): no data are available to health canada; therefore, health canada has not authorized an indication for pediatric use. 1.2 geriatrics geriatrics (> 65 years old): administration of diltiazem to elderly patients (over or equal to 65 years of age) requires particular care in titration (see 7.1.4 warnings and precautions, geriatrics and 9.4 drug -drug i nteractions). 2",,,"<hypertension>; <angina, stable>","bausch health, canada inc.",bausch,02271613,diltiazem hydrochloride,,,capsule,,,HealthCanada,75716.0
oral,,,approved,healthcanada,approved,26.09.2005,2005,diseases of the circulatory system,,,small molecule,teva-diltiazem hcl er,"indications teva- diltiazem hcl er (diltiazem hydrochloride extended -release capsules) is indicated for: •essential hypertension teva- diltiazem hcl er is indicated for the treatment of mild to moderate essential hypertension. safet y of concurrent use of teva- diltiazem hcl er with other antihypertensive agents has not been established. •chroni c stable angina teva- diltiazem hcl er is indicated for the management of chronic stable angina (effort -associated angina) without evidence of vasospasm in patients who remain symptomatic despite adequate doses of beta- blockers and/or organic nitrates or who cannot tolerate these agents (see 7 warnings and precautions ). teva- d iltiazem hcl er may be tried in combination with beta -blockers in chronic stable angina patients with normal ventricular function. when such concomitant therapy is introduced, patients must be monitored closely (see 7 warnings and precautions , use with beta -blockers). sinc e the safety and efficacy of teva- diltiazem hcl er in the management of unstable or vasospastic angina has not been substantiated, its use for these indications is not recommended. 1.1 pediatrics pediatrics (< 18 years): no data are available to health canada; therefore, health canada has not authorized an indication for pediatric use. 1.2 geriatrics geriatrics (> 65 years old): administration of diltiazem to elderly patients (over or equal to 65 years of age) requires particular care in titration (see 7.1.4 warnings and precautions, geriatrics and 9.4 drug -drug i nteractions). 2",,,"<hypertension>; <angina, stable>","bausch health, canada inc.",bausch,02271621,diltiazem hydrochloride,,,capsule,,,HealthCanada,75717.0
oral,,,approved,healthcanada,approved,26.09.2005,2005,diseases of the circulatory system,,,small molecule,teva-diltiazem hcl er,"indications teva- diltiazem hcl er (diltiazem hydrochloride extended -release capsules) is indicated for: •essential hypertension teva- diltiazem hcl er is indicated for the treatment of mild to moderate essential hypertension. safet y of concurrent use of teva- diltiazem hcl er with other antihypertensive agents has not been established. •chroni c stable angina teva- diltiazem hcl er is indicated for the management of chronic stable angina (effort -associated angina) without evidence of vasospasm in patients who remain symptomatic despite adequate doses of beta- blockers and/or organic nitrates or who cannot tolerate these agents (see 7 warnings and precautions ). teva- d iltiazem hcl er may be tried in combination with beta -blockers in chronic stable angina patients with normal ventricular function. when such concomitant therapy is introduced, patients must be monitored closely (see 7 warnings and precautions , use with beta -blockers). sinc e the safety and efficacy of teva- diltiazem hcl er in the management of unstable or vasospastic angina has not been substantiated, its use for these indications is not recommended. 1.1 pediatrics pediatrics (< 18 years): no data are available to health canada; therefore, health canada has not authorized an indication for pediatric use. 1.2 geriatrics geriatrics (> 65 years old): administration of diltiazem to elderly patients (over or equal to 65 years of age) requires particular care in titration (see 7.1.4 warnings and precautions, geriatrics and 9.4 drug -drug i nteractions). 2",,,"<hypertension>; <angina, stable>","bausch health, canada inc.",bausch,02271648,diltiazem hydrochloride,,,capsule,,,HealthCanada,75718.0
oral,,,approved,healthcanada,approved,26.09.2005,2005,diseases of the circulatory system,,,small molecule,teva-diltiazem hcl er,"indications teva- diltiazem hcl er (diltiazem hydrochloride extended -release capsules) is indicated for: •essential hypertension teva- diltiazem hcl er is indicated for the treatment of mild to moderate essential hypertension. safet y of concurrent use of teva- diltiazem hcl er with other antihypertensive agents has not been established. •chroni c stable angina teva- diltiazem hcl er is indicated for the management of chronic stable angina (effort -associated angina) without evidence of vasospasm in patients who remain symptomatic despite adequate doses of beta- blockers and/or organic nitrates or who cannot tolerate these agents (see 7 warnings and precautions ). teva- d iltiazem hcl er may be tried in combination with beta -blockers in chronic stable angina patients with normal ventricular function. when such concomitant therapy is introduced, patients must be monitored closely (see 7 warnings and precautions , use with beta -blockers). sinc e the safety and efficacy of teva- diltiazem hcl er in the management of unstable or vasospastic angina has not been substantiated, its use for these indications is not recommended. 1.1 pediatrics pediatrics (< 18 years): no data are available to health canada; therefore, health canada has not authorized an indication for pediatric use. 1.2 geriatrics geriatrics (> 65 years old): administration of diltiazem to elderly patients (over or equal to 65 years of age) requires particular care in titration (see 7.1.4 warnings and precautions, geriatrics and 9.4 drug -drug i nteractions). 2",,,"<hypertension>; <angina, stable>","bausch health, canada inc.",bausch,02271656,diltiazem hydrochloride,,,capsule,,,HealthCanada,75719.0
oral,,,approved,healthcanada,approved,04.10.2011,2011,diseases of the circulatory system,,,small molecule,teva-diltiazem t,"indications teva -diltiazem t (diltiazem hydrochloride extended -release capsules) is indicated for: • essential hypertension teva -diltiazem t is indicated for the treatment of mild to moderate essential hypertension. safety of concurrent use of teva -diltiazem t with other antihypertensive agents has not been established. • chronic stable angina teva -diltiazem t is indicated for the management of chronic stable angina (effort - associated angina) without evidence of vasospasm in patients who remain symptomatic despite adequate doses of beta -blockers and/or organic nitrates or who cannot tolerate these agents. (see 7 warnings and precautions , use with beta-blockers ). teva -diltiazem t may be tried in combination with beta -blockers in chronic stable angina patients with normal ventricular function. when such concomitant therapy is introduced, patients must be monitored closely (see 7 warnings and precautions , use with beta-blockers ). since the safety and efficacy of teva -diltiazem t in the management of unstable or vasospastic angina has not been substantiated, its use for these indications is not recommended. 1.1 pediatrics pediatrics (< 18 years): no data are available to health canada; therefore, health canada has not authorized an indication for pediatric use. 1.2 geriatrics geriatrics (> 65 years old): administration of diltiazem to elderly patients (over or equal to 65 years of age) requires particular care in titration (see 7.1.4 warnings and precautions, geriatrics and 9.4 drug -drug interactions ). 2",,,<hypertension>; <angina pectoris>,teva canada limited,teva,02370441,diltiazem hydrochloride,,,capsule,,,HealthCanada,85560.0
oral,,,approved,healthcanada,approved,04.10.2011,2011,diseases of the circulatory system,,,small molecule,teva-diltiazem t,"indications teva -diltiazem t (diltiazem hydrochloride extended -release capsules) is indicated for: • essential hypertension teva -diltiazem t is indicated for the treatment of mild to moderate essential hypertension. safety of concurrent use of teva -diltiazem t with other antihypertensive agents has not been established. • chronic stable angina teva -diltiazem t is indicated for the management of chronic stable angina (effort - associated angina) without evidence of vasospasm in patients who remain symptomatic despite adequate doses of beta -blockers and/or organic nitrates or who cannot tolerate these agents. (see 7 warnings and precautions , use with beta-blockers ). teva -diltiazem t may be tried in combination with beta -blockers in chronic stable angina patients with normal ventricular function. when such concomitant therapy is introduced, patients must be monitored closely (see 7 warnings and precautions , use with beta-blockers ). since the safety and efficacy of teva -diltiazem t in the management of unstable or vasospastic angina has not been substantiated, its use for these indications is not recommended. 1.1 pediatrics pediatrics (< 18 years): no data are available to health canada; therefore, health canada has not authorized an indication for pediatric use. 1.2 geriatrics geriatrics (> 65 years old): administration of diltiazem to elderly patients (over or equal to 65 years of age) requires particular care in titration (see 7.1.4 warnings and precautions, geriatrics and 9.4 drug -drug interactions ). 2",,,<hypertension>; <angina pectoris>,teva canada limited,teva,02370492,diltiazem hydrochloride,,,capsule,,,HealthCanada,85564.0
oral,,,approved,healthcanada,approved,04.10.2011,2011,diseases of the circulatory system,,,small molecule,teva-diltiazem t,"indications teva -diltiazem t (diltiazem hydrochloride extended -release capsules) is indicated for: • essential hypertension teva -diltiazem t is indicated for the treatment of mild to moderate essential hypertension. safety of concurrent use of teva -diltiazem t with other antihypertensive agents has not been established. • chronic stable angina teva -diltiazem t is indicated for the management of chronic stable angina (effort - associated angina) without evidence of vasospasm in patients who remain symptomatic despite adequate doses of beta -blockers and/or organic nitrates or who cannot tolerate these agents. (see 7 warnings and precautions , use with beta-blockers ). teva -diltiazem t may be tried in combination with beta -blockers in chronic stable angina patients with normal ventricular function. when such concomitant therapy is introduced, patients must be monitored closely (see 7 warnings and precautions , use with beta-blockers ). since the safety and efficacy of teva -diltiazem t in the management of unstable or vasospastic angina has not been substantiated, its use for these indications is not recommended. 1.1 pediatrics pediatrics (< 18 years): no data are available to health canada; therefore, health canada has not authorized an indication for pediatric use. 1.2 geriatrics geriatrics (> 65 years old): administration of diltiazem to elderly patients (over or equal to 65 years of age) requires particular care in titration (see 7.1.4 warnings and precautions, geriatrics and 9.4 drug -drug interactions ). 2",,,<hypertension>; <angina pectoris>,teva canada limited,teva,02370506,diltiazem hydrochloride,,,capsule,,,HealthCanada,85565.0
oral,,,approved,healthcanada,approved,04.10.2011,2011,diseases of the circulatory system,,,small molecule,teva-diltiazem t,"indications teva -diltiazem t (diltiazem hydrochloride extended -release capsules) is indicated for: • essential hypertension teva -diltiazem t is indicated for the treatment of mild to moderate essential hypertension. safety of concurrent use of teva -diltiazem t with other antihypertensive agents has not been established. • chronic stable angina teva -diltiazem t is indicated for the management of chronic stable angina (effort - associated angina) without evidence of vasospasm in patients who remain symptomatic despite adequate doses of beta -blockers and/or organic nitrates or who cannot tolerate these agents. (see 7 warnings and precautions , use with beta-blockers ). teva -diltiazem t may be tried in combination with beta -blockers in chronic stable angina patients with normal ventricular function. when such concomitant therapy is introduced, patients must be monitored closely (see 7 warnings and precautions , use with beta-blockers ). since the safety and efficacy of teva -diltiazem t in the management of unstable or vasospastic angina has not been substantiated, its use for these indications is not recommended. 1.1 pediatrics pediatrics (< 18 years): no data are available to health canada; therefore, health canada has not authorized an indication for pediatric use. 1.2 geriatrics geriatrics (> 65 years old): administration of diltiazem to elderly patients (over or equal to 65 years of age) requires particular care in titration (see 7.1.4 warnings and precautions, geriatrics and 9.4 drug -drug interactions ). 2",,,<hypertension>; <angina pectoris>,teva canada limited,teva,02370514,diltiazem hydrochloride,,,capsule,,,HealthCanada,85566.0
