MA_Number,Indications_and_usage,Origin,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Pharmaceutical_form,Administration_route,Decision,Decision_date,Decision_year,Current_status,Non-clinical_abridged,Referral,Orphan_drug_status
ANDA040027,,FDA,PROMETHAZINE HYDROCHLORIDE AND DEXTROMETHORPHAN HYDROBROMIDE,DEXTROMETHORPHAN HYDROBROMIDE,HIKMA,SYRUP,ORAL,Approved,31.07.1996,1996,Discontinued,yes,No,No
ANDA040028,,FDA,KIONEX,SODIUM POLYSTYRENE SULFONATE,ANI PHARMS,SUSPENSION,"ORAL, RECTAL",Approved,17.09.2007,2007,authorised,yes,No,No
ANDA040029,,FDA,KIONEX,SODIUM POLYSTYRENE SULFONATE,ANI PHARMS,POWDER,"ORAL, RECTAL",Approved,06.02.1998,1998,authorised,yes,No,No
ANDA040032,,FDA,CYCLOPHOSPHAMIDE,CYCLOPHOSPHAMIDE,ROXANE,TABLET,ORAL,Approved,17.08.1999,1999,Discontinued,yes,No,No
ANDA040034,,FDA,THEOPHYLLINE,THEOPHYLLINE,INWOOD LABS,"TABLET, EXTENDED RELEASE",ORAL,Approved,28.04.1995,1995,Discontinued,yes,No,No
ANDA040035,,FDA,FLUOCINOLONE ACETONIDE,FLUOCINOLONE ACETONIDE,TARO,CREAM,TOPICAL,Approved,31.10.1994,1994,Discontinued,yes,No,No
ANDA040036,,FDA,METHAZOLAMIDE,METHAZOLAMIDE,CHARTWELL RX,TABLET,ORAL,Approved,30.06.1993,1993,authorised,yes,No,No
ANDA040037,INDICATIONS AND USAGE Triamcinolone Acetonide Ointment is indicated for the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.,FDA,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,TARO,OINTMENT,TOPICAL,Approved,30.09.1994,1994,authorised,yes,No,No
ANDA040038,,FDA,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,TARO,CREAM,TOPICAL,Approved,26.10.1994,1994,Discontinued,yes,No,No
ANDA040039,"INDICATIONS AND USAGE Triamcinolone acetonide cream, 0.1% is indicated for the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.",FDA,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,TARO,CREAM,TOPICAL,Approved,26.11.1997,1997,authorised,yes,No,No
ANDA040040,,FDA,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,TARO,OINTMENT,TOPICAL,Approved,30.09.1994,1994,Discontinued,yes,No,No
ANDA040041,,FDA,FLUOCINOLONE ACETONIDE,FLUOCINOLONE ACETONIDE,TARO,OINTMENT,TOPICAL,Approved,15.09.1994,1994,authorised,yes,No,No
ANDA040042,,FDA,FLUOCINOLONE ACETONIDE,FLUOCINOLONE ACETONIDE,TARO,CREAM,TOPICAL,Approved,31.10.1994,1994,Discontinued,yes,No,No
ANDA040043,,FDA,EDROPHONIUM CHLORIDE PRESERVATIVE FREE,EDROPHONIUM CHLORIDE,WATSON LABS,INJECTABLE,INJECTION,,,,Discontinued,yes,No,No
ANDA040044,,FDA,EDROPHONIUM CHLORIDE,EDROPHONIUM CHLORIDE,WATSON LABS,INJECTABLE,INJECTION,,,,Discontinued,yes,No,No
ANDA040045,,FDA,QUINIDINE SULFATE,QUINIDINE SULFATE,COSETTE,"TABLET, EXTENDED RELEASE",ORAL,Approved,30.06.1994,1994,Discontinued,yes,No,No
ANDA040047,,FDA,NITROGLYCERIN,NITROGLYCERIN,NOVEN,"Film, Extended Release",Transdermal,Tentative Approval,26.11.1996,1996,None (Tentative Approval),yes,No,No
ANDA040048,,FDA,NITROGLYCERIN,NITROGLYCERIN,NOVEN,"Film, Extended Release",Transdermal,Tentative Approval,26.11.1996,1996,None (Tentative Approval),yes,No,No
ANDA040049,,FDA,NITROGLYCERIN,NITROGLYCERIN,NOVEN,"Film, Extended Release",Transdermal,Tentative Approval,26.11.1996,1996,None (Tentative Approval),yes,No,No
ANDA040050,,FDA,METHADOSE,METHADONE HYDROCHLORIDE,SPECGX LLC,TABLET,ORAL,Approved,15.04.1993,1993,Discontinued,yes,No,No
ANDA040052,,FDA,THEOPHYLLINE,THEOPHYLLINE,INWOOD LABS,"CAPSULE, EXTENDED RELEASE",ORAL,Approved,14.02.1994,1994,Discontinued,yes,No,No
