Document_name,Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body
000245811.pdf,Not reported,Not reported,Zejula,Niraparib,Takeda Pharmaceutical Company Limited,Small molecule,Capsule,oral,approved,authorised,04.09.2020,2020,no,no,Maintenance treatment of ovarian cancer after the initial chemotherapy; Maintenance treatment of platinum-sensitive recurrent ovarian cancer; Treatment of platinum-sensitive recurrent ovarian cancer with homologous recombination deficiency,Maintenance treatment of ovarian cancer after the initial chemotherapy; Maintenance treatment of platinum-sensitive recurrent ovarian cancer; Treatment of platinum-sensitive recurrent ovarian cancer with homologous recombination deficiency,Neoplasms; Diseases of the genitourinary system,28.02.2020,2020,no,NA
000212785.pdf,Not reported,Not reported,Farydak,Panobinostat,Novartis Pharma K.K.,Small molecule,Capsules,oral,approved,authorised,28.05.2015,2015,yes,no,Relapsed or refractory multiple myeloma,Relapsed or refractory multiple myeloma,Neoplasms; Diseases of the blood and blood-forming organs,26.09.2014,2014,no,NA
000239716.pdf,Not reported,Not reported,Inavir,Laninamivir Octanoate Hydrate,"Daiichi Sankyo Company, Limited",Small molecule,inhalation suspension,inhalation,approved,authorised,19.04.2019,2019,no,no,Treatment of influenza A or B virus infection,Treatment of influenza A or B virus infection,Infectious and parasitic diseases,10.07.2018,2018,yes,Not reported
000221617.pdf,Not reported,Not reported,Livalo,Pitavastatin Calcium Hydrate,"Kowa Company, Ltd.",Small molecule,tablet,oral,approved,authorised,05.06.2015,2015,no,yes,Familial hypercholesterolemia in pediatric patients,"Hypercholesterolemia, familial hypercholesterolemia","Endocrine, nutritional, and metabolic diseases",07.08.2014,2014,yes,Not reported
000274762.pdf,Not reported,Not reported,Awiqli,Insulin Icodec,Novo Nordisk Pharma Ltd.,Peptides and proteins,solution for injection,subcutaneous,approved,authorised,31.05.2024,2024,no,no,Diabetes mellitus where treatment with insulin is required,Diabetes mellitus where treatment with insulin is required,"Endocrine, nutritional, and metabolic diseases",10.08.2023,2023,no,NA
000273743.pdf,Not reported,Not reported,Vyvgart,Efgartigimod Alfa,Argenx Japan K.K.,Biologics,injection,intravenous,approved,authorised,29.02.2024,2024,yes,yes,Generalized myasthenia gravis; Primary immune thrombocytopenia,Generalized myasthenia gravis; Chronic idiopathic thrombocytopenic purpura,Diseases of the blood and blood-forming organs,13.06.2023,2023,yes,Not reported
000227138.pdf,Not reported,Not reported,Parsabiv,Etelcalcetide,"Ono Pharmaceutical Co., Ltd.",Peptides and proteins,solution for injection,intravenous,approved,authorised,31.10.2016,2016,no,no,Secondary hyperparathyroidism in patients on hemodialysis,Secondary hyperparathyroidism in patients on hemodialysis,"Endocrine, nutritional, and metabolic diseases",14.01.2016,2016,no,NA
000153173.pdf,Not reported,Not reported,Topina,Topiramate,"Kyowa Hakko Kogyo Co., Ltd.",Small molecule,tablet,oral,approved,authorised,27.04.2007,2007,no,no,Concomitant therapy with other antiepileptic drugs for partial seizures (including secondary generalized seizures) in patients who fail to show satisfactory response to other antiepileptic drugs,Concomitant therapy with other antiepileptic drugs for partial seizures (including secondary generalized seizures) in patients who fail to show satisfactory response to other antiepileptic drugs,Diseases of the nervous system,28.07.2004,2004,no,NA
000234811.pdf,Not reported,Not reported,Evrenzo,Roxadustat,Astellas Pharma Inc.,Small molecule,film-coated tablet,oral,approved,authorised,29.08.2019,2019,no,no,Renal anemia in patients on dialysis,Renal anemia in patients on dialysis,Diseases of the blood and blood-forming organs,28.09.2018,2018,no,NA
000213511.pdf,Not reported,Not reported,Emulsion-adjuvanted Cell-culture Derived Influenza HA Vaccine,Emulsion-adjuvanted Cell-culture Derived Influenza HA Vaccine,The Chemo-Sero-Therapeutic Research Institute (KAKETSUKEN),Vaccine,emulsion for injection,intramuscular,approved,authorised,26.02.2015,2015,yes,no,Prophylaxis of pandemic influenza,Prophylaxis of pandemic influenza,Infectious and parasitic diseases; Diseases of the respiratory system,30.09.2014,2014,yes,Not reported
000153628.pdf,Not reported,Not reported,Rapiacta,Peramivir,"Shionogi & Co., Ltd.",Small molecule,solution for intravenous infusion,intravenous,approved,authorised,26.12.2009,2009,no,no,Influenza A or B virus infection,Influenza A or B virus infection,Infectious and parasitic diseases,30.10.2009,2009,no,NA
000239461.pdf,Not reported,Not reported,Skyrizi,Risankizumab,AbbVie GK,Biologics,injectable solution,subcutaneous,approved,authorised,22.02.2019,2019,no,no,"Treatment of psoriasis vulgaris, psoriatic arthritis, pustular psoriasis, and erythrodermic psoriasis in patients with inadequate response to conventional therapies","Treatment of psoriasis vulgaris, psoriatic arthritis, pustular psoriasis, and erythrodermic psoriasis in patients with inadequate response to conventional therapies",Diseases of the skin; Diseases of the musculoskeletal system and connective tissue,25.05.2018,2018,no,NA
000218646.pdf,Not reported,Not reported,Suiny,Anagliptin,"Sanwa Kagaku Kenkyusho Co., Ltd.",Small molecule,tablet,oral,approved,authorised,09.11.2015,2015,no,yes,Type 2 diabetes mellitus,Type 2 diabetes mellitus,"Endocrine, nutritional, and metabolic diseases",04.02.2015,2015,yes,Not reported
000237869.pdf,Not reported,Not reported,Vyndaqel,Tafamidis Meglumine,Pfizer Japan Inc.,Small molecule,Capsule,oral,approved,authorised,21.02.2019,2019,yes,yes,Delay of peripheral neurologic impairment in patients with transthyretin familial amyloid polyneuropathy; Reductions in all-cause mortality and the frequency of cardiovascular-related hospitalizations in patients with transthyretin amyloid cardiomyopathy (wild-type or variant),Delay of peripheral neurologic impairment in patients with transthyretin familial amyloid polyneuropathy; Transthyretin amyloid cardiomyopathy (wild-type or variant),Diseases of the circulatory system,02.11.2018,2018,yes,Not reported
000216694.pdf,Not reported,Not reported,Talion,Bepotastine Besilate,Mitsubishi Tanabe Pharma Corporation,Small molecule,tablet,oral,approved,authorised,24.04.2015,2015,no,yes,"Allergic rhinitis, urticaria, and pruritus associated with skin disorders (eczema/dermatitis, prurigo, cutaneous pruritus)","Allergic rhinitis, urticaria, and pruritus associated with skin disorders (eczema/dermatitis, prurigo, cutaneous pruritus)",Diseases of the respiratory system; Diseases of the skin,30.05.2014,2014,yes,Not reported
000236236.pdf,Not reported,Not reported,Hemlibra,Emicizumab,"Chugai Pharmaceutical Co., Ltd.",Biologics,injection,subcutaneous,approved,authorised,02.03.2018,2018,yes,no,Reduction in bleeding tendency in patients with congenital blood coagulation factor VIII deficiency with blood coagulation factor VIII inhibitors,Reduction in bleeding tendency in patients with congenital blood coagulation factor VIII deficiency with blood coagulation factor VIII inhibitors,Diseases of the blood and blood-forming organs,21.07.2017,2017,no,NA
000235893.pdf,Not reported,Not reported,Benlysta,Belimumab,GlaxoSmithKline K.K.,Biologics,Powder for solution for infusion,intravenous,approved,authorised,05.08.2019,2019,no,yes,Treatment of patients with systemic lupus erythematosus who have inadequately responded to conventional treatments,Treatment of patients with systemic lupus erythematosus who have inadequately responded to conventional treatments,Diseases of the musculoskeletal system and connective tissue,29.11.2018,2018,yes,Not reported
000223203.pdf,Not reported,Not reported,Opdivo,Nivolumab,"Ono Pharmaceutical Co., Ltd.",Biologics,Injection,intravenous,approved,authorised,22.08.2017,2017,no,yes,Treatment of unresectable advanced or recurrent gastric cancer,Treatment of unresectable advanced or recurrent gastric cancer that has progressed after cancer chemotherapy,Neoplasms; Diseases of the digestive system,27.12.2016,2016,yes,Not reported
000242825.pdf,Not reported,Not reported,Olumiant,Baricitinib,Eli Lilly Japan K.K.,Small molecule,tablet,oral,approved,authorised,30.05.2017,2017,no,no,Rheumatoid arthritis in patients who have had an inadequate response to conventional treatments,Rheumatoid arthritis in patients who have had an inadequate response to conventional treatments,Diseases of the musculoskeletal system and connective tissue,11.03.2016,2016,no,NA
