Document_name,Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body
auspar-xeljanz-240828.pdf,"196987, 233439, 298307, 381790, 381810, 386772",PM-2021-04843-1-3,Xeljanz,Tofacitinib,Pfizer Australia Pty Ltd,Small molecule,"Tablets, film-coated or extended release; Oral solution",Oral,approved,authorised (under additional monitoring),23.01.2023,2023,no,yes,Ankylosing Spondylitis (AS); Juvenile Idiopathic Arthritis (JIA),Ankylosing Spondylitis (AS); Juvenile Idiopathic Arthritis (JIA),Diseases of the musculoskeletal system and connective tissue; Neoplasms,30.11.2021,2021,yes,Not reported
auspar-defibrotide-201203.pdf,319221,PM-2019-01763-1-3,Defitelio,Defibrotide,Link Medical Products Pty Ltd,Biologics,Concentrated solution for infusion,Intravenous,approved,authorised (under additional monitoring),15.07.2020,2020,yes,no,Treatment of severe hepatic veno-occlusive disease (VOD) also known as sinusoidal obstruction syndrome (SOS) in haematopoietic stem-cell transplantation (HSCT) therapy.,Treatment of severe hepatic veno-occlusive disease (VOD) also known as sinusoidal obstruction syndrome (SOS) in haematopoietic stem-cell transplantation (HSCT) therapy.,Diseases of the blood and blood-forming organs,31.07.2019,2019,no,NA
auspar-sofosbuvir-velpatasvir-171108.pdf,266823,PM-2015-03984-1-2,Epclusa,Sofosbuvir / Velpatasvir,Gilead Sciences Pty Ltd,Small molecule,Film coated tablet,oral,approved,authorised,13.12.2016,2016,no,no,treatment of chronic hepatitis C virus (HCV) infection in adults,"treatment of chronic hepatitis C virus (HCV) infection (genotype 1, 2, 3, 4, 5 or 6) in adults",Infectious and parasitic diseases,Not reported,Not reported,no,NA
auspar-venetoclax-200924.pdf,"267441, 267442, 267443, 267444, 267445",Not reported,Venclexta,Venetoclax,AbbVie Pty Ltd,Small molecule,Film coated tablet,Oral,approved,authorised (under additional monitoring),28.01.2020,2020,yes,yes,Treatment of newly diagnosed patients with Acute Myeloid Leukaemia (AML) who are ineligible for intensive chemotherapy.,Treatment of newly diagnosed patients with Acute Myeloid Leukaemia (AML) who are ineligible for intensive chemotherapy.,Neoplasms; Diseases of the blood and blood-forming organs,31.01.2019,2019,yes,Not reported
auspar-smoflipid.pdf,156359,PM-2008-03674-3-1,SMOFlipid,"Soya oil, Medium chain triglycerides, Olive oil, Fish oil",Fresenius Kabi Australia Pty Ltd,Other,Emulsion for intravenous infusion,Intravenous,approved,authorised,15.03.2010,2010,no,no,"Supply of energy and essential fatty acids and omega-3 fatty acids to patients, as part of a parenteral nutrition regimen, when oral or enteral nutrition is impossible, insufficient or contra-indicated.","Supply of energy and essential fatty acids to patients, as part of a parenteral nutrition regimen, when oral or enteral nutrition is impossible, insufficient or contraindicated.","Endocrine, nutritional, and metabolic diseases",Not reported,Not reported,no,NA
auspar-octocog-alfa-bhk-190423.pdf,"246796, 246795, 246794, 246793, 236280",PM-2015-00368-1-4,Kovaltry,Octocog alfa,Bayer Australia Pty Ltd,Biologics,Powder for injection with diluent,Intravenous,approved,authorised,23.03.2016,2016,no,no,Treatment and prophylaxis of bleeding in patients with haemophilia A (congenital Factor VIII deficiency).,Treatment and prophylaxis of bleeding in patients with haemophilia A (congenital Factor VIII deficiency).,Diseases of the blood and blood-forming organs,30.04.2015,2015,no,NA
auspar-padcev-230227.pdf,"355870, 367410",PM-2021-00635-1-4,Padcev,Enfortumab vedotin,Astellas Pharma Australia Pty Ltd,Biologics,Powder for injection,Intravenous,approved,authorised (under additional monitoring),30.06.2022,2022,no,no,Treatment of adult patients with locally advanced or metastatic urothelial cancer who have received a PD-1 or PD-L1 inhibitor and a platinum-containing chemotherapy.,Treatment of adult patients with locally advanced or metastatic urothelial cancer who have previously received a platinum-containing chemotherapy and a programmed receptor-1 or programmed death-ligand-1 inhibitor.,Neoplasms; Diseases of the genitourinary system,01.04.2021,2021,no,NA
auspar-lesinurad-160920.pdf,236961,PM-2014-04708-1-3,Zurampic,Lesinurad,AstraZeneca Pty Ltd,Small molecule,"Immediate release, film coated oral tablet",Oral,approved,authorised,16.05.2016,2016,no,no,For the treatment of hyperuricaemia associated with gout in combination with a xanthine oxidase inhibitor.,For the treatment of hyperuricaemia associated with gout in combination with a xanthine oxidase inhibitor for patients who have not achieved target serum uric acid levels with an adequate dose of a xanthine oxidase inhibitor alone.,"Endocrine, nutritional, and metabolic diseases",Not reported,2015,no,NA
auspar-influenza-haemagglutinin-recombinant-210708.pdf,325683,PM-2019-04824-1-2,Flublok Quadrivalent,Influenza haemagglutinin recombinant,Sanofi-Aventis Australia Pty Ltd,Vaccine,Solution for injection,Intramuscular,approved,authorised,12.05.2021,2021,no,no,Active immunisation for the prevention of influenza disease caused by influenza virus types A and B contained in the vaccine.,Active immunisation for the prevention of influenza disease caused by influenza virus types A and B contained in the vaccine.,Infectious and parasitic diseases; Diseases of the respiratory system,02.12.2019,2019,yes,Not reported
auspar-sunlenca-240123.pdf,386895; 392350,PM-2022-00982-1-2,Sunlenca,Lenacapavir sodium,Gilead Sciences Pty Ltd,Small molecule,Solution for injection; Film coated tablets,Subcutaneous; Oral,approved,authorised (under additional monitoring),23.03.2023,2023,no,no,"Treatment of human immunodeficiency virus type 1 (HIV-1) infection in adults and paediatric patients weighing at least 35 kg with multidrug resistant HIV-1 infection failing their current antiretroviral regimen due to resistance, intolerance, or safety considerations.",Treatment of adults with multidrug resistant HIV-1 infection for whom it is otherwise not possible to construct a suppressive anti-viral regimen.,Infectious and parasitic diseases,02.05.2022,2022,no,NA
